last_name, first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Raleigh, Cal,663728,2022,.216,.461,.330,.324,.290,.246,90.9,22.5,36,15.4,
Grisham, Trent,663757,2022,.204,.354,.280,.295,.302,.150,88.3,15.1,25.5,8.1,
Vierling, Matt,663837,2022,.279,.408,.285,.327,.331,.129,91.2,12,35.2,5,
Rivas III, Alfonso,663845,2022,.219,.308,.285,.281,.309,.090,86.9,4.9,34.7,4.2,
Rodgers, Brendan,663898,2022,.265,.404,.321,.326,.330,.139,90,4.6,31.3,7.2,
Lowe, Nathaniel,663993,2022,.275,.459,.368,.344,.333,.184,90.2,8.2,34.1,9.9,
Happ, Ian,664023,2022,.239,.379,.339,.306,.315,.140,89.7,10.9,29.2,6.5,
France, Ty,664034,2022,.262,.398,.337,.321,.330,.136,87.6,10.1,34.8,5.4,
Lowe, Brandon,664040,2022,.237,.401,.306,.320,.322,.164,89.4,16.6,35.4,10.3,
Bader, Harrison,664056,2022,.234,.321,.286,.270,.279,.088,83.4,16.7,28.4,3.4,
Moore, Dylan,664238,2022,.202,.360,.338,.322,.350,.158,87.2,20.7,39.4,12.9,
Straw, Myles,664702,2022,.236,.301,.257,.275,.306,.065,87,9.8,34.1,0.7,
Isbel, Kyle,664728,2022,.220,.323,.265,.266,.273,.102,89.7,10.6,30.4,4.9,
Bohm, Alec,664761,2022,.290,.436,.310,.333,.327,.146,90.2,10.4,37.7,6.8,
Wade Jr., LaMonte,664774,2022,.221,.407,.298,.321,.317,.187,87.7,21.1,33.7,9.5,
Brown, Seth,664913,2022,.251,.454,.323,.338,.324,.203,89.2,15.8,34.9,13,
McCarthy, Jake,664983,2022,.249,.357,.337,.298,.310,.108,87.4,8,32.5,4.8,
Walsh, Jared,665120,2022,.221,.368,.278,.280,.274,.147,90.1,10.7,34,9.5,
Pena, Jeremy,665161,2022,.248,.397,.309,.300,.285,.149,88.1,8.7,32.9,9.7,
Celestino, Gilberto,665482,2022,.219,.294,.280,.270,.297,.075,87.3,-1.9,27.1,2.5,
Guerrero Jr., Vladimir,665489,2022,.276,.462,.351,.348,.342,.185,92.8,4.3,27.9,11.2,
Pache, Cristian,665506,2022,.228,.300,.207,.259,.276,.072,89.4,3.8,25.3,3.4,
Soto, Juan,665742,2022,.266,.501,.376,.401,.420,.235,91,9.1,28.5,12.4,
Taveras, Leody,665750,2022,.230,.322,.297,.270,.281,.092,89.3,12,28.7,4.3,
Cruz, Oneil,665833,2022,.223,.410,.320,.304,.286,.188,91.9,8.3,30.6,15.5,
Gimenez, Andres,665926,2022,.257,.400,.364,.326,.336,.143,87.8,11.7,31.3,6.2,
Lux, Gavin,666158,2022,.247,.372,.328,.314,.325,.124,88,6.8,34,6.1,
Adell, Jo,666176,2022,.200,.314,.277,.250,.244,.114,87.4,16.7,33.3,9.9,
Bichette, Bo,666182,2022,.278,.444,.347,.334,.322,.166,91.9,8.5,33.3,9.6,
Carlson, Dylan,666185,2022,.234,.355,.306,.301,.316,.121,86.1,12.9,35.7,4.4,
Morel, Christopher,666624,2022,.233,.435,.322,.324,.307,.202,89.6,9.1,30,13.4,
Castro, Rodolfo,666801,2022,.210,.354,.314,.280,.276,.144,87.3,11.7,25.6,6.7,
Dalbec, Bobby,666915,2022,.216,.379,.287,.296,.287,.163,90.3,15.2,32,11.8,
Garcia, Adolis,666969,2022,.244,.447,.324,.322,.296,.204,92.1,13.2,36.9,12.9,
Gurriel Jr., Lourdes,666971,2022,.273,.400,.327,.321,.328,.127,90.6,10.9,34.7,3.8,
Arozarena, Randy,668227,2022,.234,.382,.336,.301,.301,.148,89.9,8.8,28.2,7.9,
Knizner, Andrew,668800,2022,.219,.306,.275,.280,.305,.087,86,15.6,28.6,3.5,
Reynolds, Bryan,668804,2022,.249,.416,.349,.329,.334,.167,90.2,12,35.5,7.9,
Rutschman, Adley,668939,2022,.248,.411,.354,.342,.358,.163,87.9,15.6,35.6,7.9,
Rojas, Josh,668942,2022,.242,.365,.326,.308,.327,.123,88.8,11.9,33.5,4.5,
Melendez Jr., MJ,669004,2022,.237,.410,.310,.332,.334,.173,90.7,15.1,31,10.4,
Marsh, Brandon,669016,2022,.226,.372,.296,.287,.279,.146,89.2,10.9,40.8,7.4,
Murphy, Sean,669221,2022,.255,.439,.331,.344,.340,.184,88.7,11.5,34.7,10.5,
Senzel, Nick,669222,2022,.249,.355,.272,.299,.313,.106,87.2,11.7,35,3.3,
Edman, Tommy,669242,2022,.258,.380,.318,.308,.318,.122,88.6,8.7,31.6,6.2,
Smith, Will,669257,2022,.257,.473,.349,.352,.341,.216,89.9,18.4,36.8,10.3,
Suwinski, Jack,669261,2022,.204,.393,.311,.307,.300,.189,88.3,14.3,26.3,12.2,
Espinal, Santiago,669289,2022,.263,.348,.305,.298,.319,.085,86.1,14.1,33.8,3.4,
Miranda, Jose,669304,2022,.253,.410,.329,.317,.312,.157,89.3,13.8,34.2,6.2,
Gorman, Nolan,669357,2022,.239,.476,.316,.341,.312,.237,89.2,20,46.7,14.4,
Hiura, Keston,669374,2022,.205,.425,.334,.317,.297,.221,91.7,16.1,41.1,15.3,
Allen, Nick,669397,2022,.210,.266,.245,.238,.259,.056,83.9,7.6,26,1.2,
Smith, Josh H.,669701,2022,.224,.313,.262,.296,.330,.090,87,19.2,34.5,2.4,
Hays, Austin,669720,2022,.240,.372,.314,.298,.298,.132,87.7,11.3,32.3,5.2,
Lopez, Nicky,670032,2022,.243,.312,.251,.273,.296,.069,84.9,4.9,31.3,1.6,
Alvarez, Yordan,670541,2022,.329,.672,.427,.462,.430,.343,95.2,12.3,40.7,21,
Paredes, Isaac,670623,2022,.210,.348,.323,.297,.310,.138,87.4,15.8,27.4,6.4,
Walls, Taylor,670764,2022,.196,.304,.252,.270,.290,.108,86.3,16.6,32.6,6.2,
Gonzalez, Luis,670768,2022,.215,.306,.302,.268,.289,.091,86.9,10.9,27,2.9,
Friedl Jr., TJ,670770,2022,.215,.335,.323,.283,.295,.119,87.2,19.8,30.9,4.7,
